id	premise	hypothesis	label	explanation	split	type	idiom
136	I envy people who can eat a lot and not gain weight.	I'm green with envy when I see people eating a lot and not gaining any weight	Entailment	Being envious of someone often means that you want what they have and in this case it is the ability to eat a lot without gaining weight	train	CreativeParaphrase	
137	If I show up anywhere the good guys are planning a raid, they will kill me.	If I show up anywhere the white hats are planning a raid, they will kill me.	Entailment	White hats are known to be good guys, and if the good guys are planning a raid then it would be bad for the person in the context.	train	Idiom	white hat
138	Yesterday I wasn't paying attention while driving and almost hit a person in a crosswalk.	Yesterday I was driving and not paying attention which is why I almost hit a pedestrian	Entailment	Its common knowledge that not paying attention while driving can be very dangerous and often results in accidents	train	CreativeParaphrase	
139	When I was at gym, I was bothered by the fact that my pants had torn from behind.	I was really embarassed when my pants suddenly ripped from the back while I was at the gym	Entailment	It is very embarrassing to have your clothes rip in public, especially in a place like the gym where people are already in minimal clothing	train	CreativeParaphrase	
140	The voice sounded natural and human-like on the other end of the phone line.	The voice on the other end of the phone line sounded rather like a mechanical construct .	Contradiction	A mechanical construct is an artificial device, not something that would naturally sound like a human voice	train	Simile	
141	My neighbours were so loud last night I didn't get enough sleep. uhhh	I was so happy last night over the fact that my neighbors were too loud and I didn't get enough sleep.	Contradiction	Lack of sleep is never a good thing and so being happy because of it goes against common sense.	train	Sarcasm	
142	He stood there one more minute before shoving himself to begin running the rest of the way up the stairs in a steadfast manner.	He stood there one more minute before shoving himself off and running the rest of the way up the stairs.	Entailment	To be off and running means to have begun and be progressing well, which is what he did by shoving himself to begin running up the stairs.	train	Idiom	off and running
143	She and Derrick were very close friends.	She and derrick were thick as thieves.	Entailment	To be thick as thieves means to have a close intimate friendship, which is what she and Derrick had.	train	Idiom	thick as thieves
144	I hate that everyone in my family has a nicer car than I do.	I don't feel any jealousy over how my family can afford nicer cars than I do.	Contradiction	Cars are often seen as a status symbol and so to have a nicer car than someone else would invoke feelings of jealousy and hatred.	train	Sarcasm	
145	Jealous of the applause they made for him ,	Jealous of the applause they  gave  him ,	Entailment	Here, the word ``gave'' means to applaud.	train	Metaphor	
146	It had decent food that wasn't too expensive, so you could split the check evenly and not break anyone's budget.	It had decent food that wasn't too expensive, so you could go dutch and not break anyone's budget.	Entailment	To go dutch means to divide a check or bill evenly, so that each person contributes to it.	train	Idiom	go dutch
147	There's nothing that ticks me off more than someone who tries too hard to make an impression.	I can't stand it when someone is trying too hard to be something they're not and it just makes me angry	Entailment	When someone is trying too hard to make an impression, they are often not being genuine and authentic and this can come across as fake and irritating	train	CreativeParaphrase	
148	I tried to create some sort of discord and tension between them.	I tried to tide things over between them.	Contradiction	To tide something over means to try to keep it going or maintain it, while to create some sort of discord and tension means to cause disagreements and conflict.	train	Metaphor	
149	I ordered a medium latte, no sugar from starbucks and they completely got my order wrong	I cannot believe how Starbucks could mess up my simple order of a medium latte with no sugar	Entailment	The baristas at Starbucks are often very rushed and overwhelmed which can lead to them making mistakes with orders	train	CreativeParaphrase	
